"mic";"symbol";"isin";"date";"trading_model_id";"open_price";"high_price";"low_price";"last_price";"vwap_price";"change_prev_close_percentage";"num_trades";"volume";"turnover";"price_currency";"turnover_currency"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-30";"CT";27,60;27,60;27,00;27,00;27,1953502886570;-2,17;66;12818,00000;348590,00;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-27";"CT";28,00;28,00;27,50;27,60;27,8333896016210;-1,78;39;2962,00000;82442,50;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-23";"CT";28,10;28,10;27,80;28,10;28,0192019950120;0,36;23;1604,00000;44942,80;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-20";"CT";27,90;28,20;27,10;28,00;27,7452637889690;0,36;44;5004,00000;138837,30;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-19";"CT";27,80;28,20;27,30;27,90;27,7759546539380;0,36;43;3352,00000;93105,00;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-18";"CT";27,20;27,80;26,50;27,80;27,3351910269890;2,58;75;5706,00000;155974,60;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-17";"CT";26,00;27,30;26,00;27,10;26,4923076923080;4,23;49;2275,00000;60270,00;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-16";"CT";26,00;26,00;26,00;26,00;26,0000000000000;0,00;21;1822,00000;47372,00;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-13";"CT";25,20;26,20;25,20;26,00;25,7951553212960;3,17;70;8917,00000;230015,40;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-12";"CT";25,00;25,20;25,00;25,20;25,1175774877650;0,40;19;2452,00000;61588,30;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-11";"CT";25,00;25,20;25,00;25,10;25,0947275922670;0,40;14;569,00000;14278,90;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-10";"CT";25,10;25,20;24,90;25,00;25,0544307692310;-0,40;32;3250,00000;81426,90;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-09";"CT";25,00;25,10;25,00;25,10;25,0711484593840;0,00;12;357,00000;8950,40;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-06";"CT";24,70;25,10;24,70;25,10;24,9350389321470;0,80;14;899,00000;22416,60;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-05";"CT";25,20;25,20;24,60;24,90;24,8763925729440;1,22;16;754,00000;18756,80;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-04";"CT";25,40;25,40;24,60;24,60;25,0636009099770;-2,77;29;3077,00000;77120,70;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-03";"CT";25,00;25,40;25,00;25,30;25,1209420289860;1,61;34;5520,00000;138667,60;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-12-02";"CT";25,00;25,10;24,80;24,90;24,9874465920650;-0,40;42;4915,00000;122813,30;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-29";"CT";25,00;25,00;24,70;25,00;24,9693935119890;0,00;17;709,00000;17703,30;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-28";"CT";25,10;25,10;24,40;25,00;24,8523935729670;-0,40;57;6037,00000;150033,90;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-27";"CT";24,50;25,10;24,50;25,10;24,8807782623280;2,03;61;5962,00000;148339,20;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-26";"CT";24,00;24,60;23,90;24,60;24,1414713896460;2,50;40;3670,00000;88599,20;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-25";"CT";23,60;24,10;23,30;24,00;23,5998329621380;1,69;52;5388,00000;127155,90;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-22";"CT";23,40;23,60;23,40;23,60;23,5153760445680;0,00;21;1795,00000;42210,10;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-21";"CT";23,40;23,70;23,30;23,60;23,5261730769230;1,29;39;5200,00000;122336,10;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-20";"CT";23,30;23,40;23,00;23,30;23,1619342072720;-0,43;36;4043,00000;93643,70;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-19";"CT";23,40;23,70;23,10;23,40;23,4173913043480;0,00;43;4232,00000;99102,40;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-15";"CT";23,30;23,50;23,00;23,40;23,1450825082510;1,74;34;3030,00000;70129,60;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-14";"CT";23,30;23,40;23,00;23,00;23,2314713896460;-0,43;23;1468,00000;34103,80;"EUR";"EUR"
"XZAG";"ZABA";"HRZABARA0009";"2024-11-13";"CT";22,50;23,30;22,50;23,10;22,9761322463770;0,00;39;4416,00000;101462,60;"EUR";"EUR"
